rank,field_1,field_2,avg_weight,std_weight
1,field_27,field_36,0.012533387169241905,0.011551165021955967
2,field_8,field_41,0.010557291097939014,0.02761777676641941
3,field_35,field_40,0.009995252825319767,0.031034132465720177
4,field_33,field_40,0.0076502664014697075,0.02129240892827511
5,field_1,field_26,0.007313682697713375,0.016424141824245453
6,field_32,field_43,0.00685776537284255,0.022922931239008904
7,field_12,field_44,0.006003221496939659,0.011638769879937172
8,field_13,field_27,0.004930560477077961,0.0066099222749471664
9,C19_freq,C17_te,0.004764826036989689,0.0027714711613953114
10,field_36,field_39,0.004611495416611433,0.0057127648033201694
11,field_24,field_25,0.004334303084760904,0.0007305433391593397
12,field_32,field_37,0.004205932375043631,0.009290743619203568
13,field_36,field_42,0.00414779968559742,0.0017568403854966164
14,field_20,field_36,0.004138272255659103,0.009338783100247383
15,field_26,field_37,0.004085838329046965,0.005880049429833889
16,field_18,field_26,0.0039124866016209126,0.005848761647939682
17,hour_of_day,C19_freq,0.003840919816866517,0.0050770919770002365
18,site_id_freq,device_model_te,0.003790118731558323,0.0008881743415258825
19,C14_freq,app_id_freq,0.003781483741477132,0.0025917438324540854
20,field_39,field_45,0.0037239498924463987,0.004167111590504646
