rank,field_1,field_2,avg_weight,std_weight
1,C17_freq,device_model__hour__freq,0.0125333871692419,0.0115511650219559
2,device_id,C14_te,0.010557291097939,0.0276177767664194
3,site_id__app_id__freq,app_id__device_model__freq,0.0099952528253197,0.0310341324657201
4,app_id_freq,app_id__device_model__freq,0.0076502664014697,0.0212924089282751
5,banner_pos,C14_freq,0.0073136826977133,0.0164241418242454
6,site_id_freq,site_id_te,0.0068577653728425,0.0229229312390089
7,device_conn_type,app_id_te,0.0060032214969396,0.0116387698799371
8,C14,C17_freq,0.0049305604770779,0.0066099222749471
9,C19_freq,C17_te,0.0047648260369896,0.0027714711613953
10,device_model__hour__freq,site_id__C14__freq,0.0046114954166114,0.0057127648033201
11,day_of_month,is_weekend,0.0043343030847609,0.0007305433391593
12,site_id_freq,C14__site_id__freq,0.0042059323750436,0.0092907436192035
13,device_model__hour__freq,C17_te,0.0041477996855974,0.0017568403854966
14,C21,device_model__hour__freq,0.0041382722556591,0.0093387831002473
15,C14_freq,C14__site_id__freq,0.0040858383290469,0.0058800494298338
16,C19,C14_freq,0.0039124866016209,0.0058487616479396
17,hour_of_day,C19_freq,0.0038409198168665,0.0050770919770002
18,site_id_freq,device_model_te,0.0037901187315583,0.0008881743415258
19,C14_freq,app_id_freq,0.0037814837414771,0.002591743832454
20,site_id__C14__freq,device_model_te,0.0037239498924463,0.0041671115905046
