pair_index,field_1,field_2,avg_weight,std_weight
0,C1,C2,0.0012607335,0.0051895576
1,C1,C3,0.0009879572,0.005595896
2,C1,C4,0.0011832701,0.005306139
3,C1,C5,0.00036464402,0.0019998304
4,C1,C6,0.00066356704,0.0019726346
5,C1,C7,0.0015873499,0.0067758244
6,C1,C8,0.00044218698,0.0021231808
7,C1,C9,0.00023079233,0.0010202203
8,C1,C10,0.0012404907,0.0058048554
9,C1,C11,0.0014770847,0.0064611826
10,C1,C12,0.0010972453,0.005646253
11,C1,C13,0.001942599,0.0076522105
12,C1,C14,0.00060750614,0.0030052143
13,C1,C15,0.001404224,0.0064592585
14,C1,C16,0.0013452031,0.005606017
15,C1,C17,0.00047857114,0.0027166684
16,C1,C18,0.0014650038,0.0067661884
17,C1,C19,0.00078846386,0.0033668645
18,C1,C20,0.0011556563,0.002971325
19,C1,C21,0.0013959634,0.0055498374
20,C1,C22,0.00016626672,0.0012775454
21,C1,C23,0.0009298071,0.005044133
22,C1,C24,0.0012056284,0.0054950635
23,C1,C25,0.0006564931,0.0029572092
24,C1,C26,0.00065788056,0.0041672518
25,C1,I1,0.0010454066,0.0029974177
26,C1,I2,0.00014633356,0.0005108323
27,C1,I3,0.0005663722,0.0024146612
28,C1,I4,0.0001662618,0.00092265225
29,C1,I5,0.0001909859,0.0008879447
30,C1,I6,0.00057389867,0.0026802185
31,C1,I7,0.0002557175,0.00219263
32,C1,I8,0.0005364512,0.0037294847
33,C1,I9,0.0005600245,0.001629032
34,C1,I10,0.00013688096,0.0013507466
35,C1,I11,0.00011304734,0.00083129527
36,C1,I12,0.00013730592,0.0011019412
37,C1,I13,0.0001060408,0.0005672374
38,C1,C1_freq,0.00019494448,0.002743546
39,C1,C14_freq,0.0003624617,0.0011648929
40,C1,C17_freq,0.0002660264,0.00071596133
41,C1,C20_freq,0.00033860246,0.002106169
42,C1,C21_freq,0.00033145052,0.0016166391
43,C1,C1_te,0.00024299054,0.0018430521
44,C1,C14_te,0.0003326332,0.002172944
45,C1,C20_te,0.00028616976,0.0016053184
46,C2,C3,0.0019078004,0.009586831
47,C2,C4,0.0020020274,0.0087409085
48,C2,C5,0.00074421265,0.004331895
49,C2,C6,0.0013115357,0.0061011286
50,C2,C7,0.002259603,0.010044341
51,C2,C8,0.0007224276,0.0033136941
52,C2,C9,0.00090599863,0.0045224004
53,C2,C10,0.001955119,0.008824198
54,C2,C11,0.0018235738,0.008179375
55,C2,C12,0.002845854,0.010812604
56,C2,C13,0.0024869975,0.010466059
57,C2,C14,0.0015730557,0.0072171646
58,C2,C15,0.0013103973,0.0053530224
59,C2,C16,0.0025140722,0.010417958
60,C2,C17,0.0010178053,0.0049587144
61,C2,C18,0.001997138,0.0093257325
62,C2,C19,0.001057845,0.0051398342
63,C2,C20,0.0019274735,0.0061797155
64,C2,C21,0.0025303152,0.009760488
65,C2,C22,0.0020388707,0.005726139
66,C2,C23,0.0013662885,0.005675175
67,C2,C24,0.002124283,0.007794276
68,C2,C25,0.0013334976,0.003706882
69,C2,C26,0.0021504227,0.00879041
70,C2,I1,0.0007888693,0.0021219943
71,C2,I2,0.0006030781,0.0023084208
72,C2,I3,0.00039555688,0.0034284252
73,C2,I4,0.0013394506,0.005900319
74,C2,I5,0.0010212747,0.004042976
75,C2,I6,0.00045243063,0.0024160556
76,C2,I7,0.0021439863,0.0065923356
77,C2,I8,0.0010819056,0.00446896
78,C2,I9,0.0006832047,0.0034487695
79,C2,I10,0.0016891664,0.004898553
80,C2,I11,0.0004935383,0.002912445
81,C2,I12,0.0005704956,0.002788554
82,C2,I13,0.0012297158,0.0055578463
83,C2,C1_freq,0.0012402132,0.0052233697
84,C2,C14_freq,0.0008668759,0.0057756975
85,C2,C17_freq,0.0013246527,0.0032371085
86,C2,C20_freq,0.0005969354,0.0026711538
87,C2,C21_freq,0.000517556,0.0023075943
88,C2,C1_te,0.0007340462,0.0032331857
89,C2,C14_te,0.00068265904,0.0024034313
90,C2,C20_te,0.0014732609,0.0071090483
91,C3,C4,0.0023350522,0.0077921813
92,C3,C5,0.001182951,0.008176011
93,C3,C6,0.0010710203,0.005527339
94,C3,C7,0.0015333191,0.0073734256
95,C3,C8,0.0009180911,0.005295424
96,C3,C9,0.0012837816,0.007014936
97,C3,C10,0.0017665153,0.008599868
98,C3,C11,0.0016800701,0.007180541
99,C3,C12,0.0014466546,0.0077814218
100,C3,C13,0.0017610827,0.008151587
101,C3,C14,0.0014551956,0.007910067
102,C3,C15,0.0017220804,0.0083693955
103,C3,C16,0.0014642044,0.0070528686
104,C3,C17,0.001063636,0.0053048832
105,C3,C18,0.0020193553,0.007960202
106,C3,C19,0.0010941778,0.0050588152
107,C3,C20,0.001872896,0.010004997
108,C3,C21,0.0016003908,0.0060929777
109,C3,C22,0.0007329233,0.0031642814
110,C3,C23,0.0012849898,0.006577122
111,C3,C24,0.0017588289,0.0077197975
112,C3,C25,0.0012145499,0.005823254
113,C3,C26,0.0015563273,0.007688473
114,C3,I1,0.000945282,0.0037697074
115,C3,I2,0.0004380095,0.0019748025
116,C3,I3,0.000365351,0.0022681912
117,C3,I4,0.0012730274,0.006044822
118,C3,I5,0.00080587616,0.003889138
119,C3,I6,0.00041706895,0.0026559404
120,C3,I7,0.0012373979,0.0055293036
121,C3,I8,0.00090674264,0.005155563
122,C3,I9,0.00063316047,0.0031908168
123,C3,I10,0.0010583688,0.0054963743
124,C3,I11,0.0006373147,0.0035799392
125,C3,I12,0.0024551086,0.00397367
126,C3,I13,0.00089082506,0.0032339054
127,C3,C1_freq,0.002721203,0.007320541
128,C3,C14_freq,0.0007542204,0.004260917
129,C3,C17_freq,0.0010687088,0.0053491523
130,C3,C20_freq,0.0018187986,0.008429093
131,C3,C21_freq,0.001151174,0.0038733962
132,C3,C1_te,0.00091483624,0.0026705037
133,C3,C14_te,0.0008121026,0.0042275786
134,C3,C20_te,0.00076040404,0.0042580995
135,C4,C5,0.0013052875,0.0046057
136,C4,C6,0.0012087906,0.0055902232
137,C4,C7,0.002281251,0.0105530275
138,C4,C8,0.0011514025,0.0055727907
139,C4,C9,0.0015787325,0.0060777105
140,C4,C10,0.0020607081,0.009404382
141,C4,C11,0.0019308653,0.00912531
142,C4,C12,0.0016425808,0.006588362
143,C4,C13,0.0021261666,0.009337721
144,C4,C14,0.0025643888,0.011574434
145,C4,C15,0.00204526,0.01005889
146,C4,C16,0.0020553605,0.009695617
