rank,field_1,field_2,avg_weight,std_weight
1,ad_id_te,campaign_id_te,0.14718922972679138,0.12379338592290878
2,uuid,ad_id_te,0.12068113684654236,0.09595710039138794
3,uuid,campaign_id_te,0.026273740455508232,0.044769831001758575
4,timestamp,ad_id_te,0.024905970320105553,0.012885943055152893
5,ad_id_freq,ad_id_te,0.02337426133453846,0.04206610843539238
6,platform,ad_id_te,0.02207464538514614,0.03375828638672829
7,campaign_id_freq,campaign_id_te,0.017639899626374245,0.03200460225343704
8,advertiser_id,timestamp,0.01737094670534134,0.0479588508605957
9,document_id_y,timestamp,0.015105612576007843,0.043720465153455734
10,advertiser_id_freq,campaign_id_te,0.01411867793649435,0.031603287905454636
11,ad_id,timestamp,0.013812818564474583,0.04040112718939781
12,country,ad_id_te,0.013036350719630718,0.02520378679037094
13,ad_id,advertiser_id,0.012690139003098011,0.041405294090509415
14,campaign_id,hour,0.012070870026946068,0.04107105731964111
15,campaign_id,timestamp,0.011750568635761738,0.0376909039914608
16,uuid,ad_id_freq,0.01170799508690834,0.014406374655663967
17,campaign_id,ad_id_freq,0.010981421917676926,0.04459623247385025
18,ad_id,campaign_id,0.010942691937088966,0.03645453229546547
19,uuid,platform,0.010532323271036148,0.023706354200839996
20,platform,ad_id_freq,0.01024530827999115,0.014479381963610649
